Destination,Year,Migrating into the country
Libya,2015 Combined,771146
Libya,2020 Combined,826537
Libya,2015 Males,549153
Libya,2020 Males,593797
Libya,2015 Females,221993
Libya,2020 Females,232740
Liechtenstein,2015 Combined,23799
Liechtenstein,2020 Combined,25877
Liechtenstein,2015 Males,11605
Liechtenstein,2020 Males,12619
Liechtenstein,2015 Females,12194
Liechtenstein,2020 Females,13258
Lithuania,2015 Combined,136021
Lithuania,2020 Combined,145184
Lithuania,2015 Males,57508
Lithuania,2020 Males,73148
Lithuania,2015 Females,78513
Lithuania,2020 Females,72036
Luxembourg,2015 Combined,248888
Luxembourg,2020 Combined,298062
Luxembourg,2015 Males,126129
Luxembourg,2020 Males,151653
Luxembourg,2015 Females,122759
Luxembourg,2020 Females,146409
Madagascar,2015 Combined,32075
Madagascar,2020 Combined,35563
Madagascar,2015 Males,18270
Madagascar,2020 Males,20262
Madagascar,2015 Females,13805
Madagascar,2020 Females,15301
Malawi,2015 Combined,197328
Malawi,2020 Combined,191362
Malawi,2015 Males,93689
Malawi,2020 Males,93612
Malawi,2015 Females,103639
Malawi,2020 Females,97750
Malaysia,2015 Combined,3280681
Malaysia,2020 Combined,3476560
Malaysia,2015 Males,1996220
Malaysia,2020 Males,2156265
Malaysia,2015 Females,1284461
Malaysia,2020 Females,1320295
Maldives,2015 Combined,64273
Maldives,2020 Combined,70079
Maldives,2015 Males,56345
Maldives,2020 Males,61437
Maldives,2015 Females,7928
Maldives,2020 Females,8642
Mali,2015 Combined,420504
Mali,2020 Combined,485829
Mali,2015 Males,213218
Mali,2020 Males,246308
Mali,2015 Females,207286
Mali,2020 Females,239521
Malta,2015 Combined,52642
Malta,2020 Combined,114760
Malta,2015 Males,28332
Malta,2020 Males,66055
Malta,2015 Females,24310
Malta,2020 Females,48705
Marshall Islands,2015 Combined,3801
Marshall Islands,2020 Combined,3819
Marshall Islands,2015 Males,2318
Marshall Islands,2020 Males,2330
Marshall Islands,2015 Females,1483
Marshall Islands,2020 Females,1489
Martinique,2015 Combined,69174
Martinique,2020 Combined,68624
Martinique,2015 Males,29432
Martinique,2020 Males,29199
Martinique,2015 Females,39742
Martinique,2020 Females,39425
Mauritania,2015 Combined,166552
Mauritania,2020 Combined,182286
Mauritania,2015 Males,94070
Mauritania,2020 Males,103203
Mauritania,2015 Females,72482
Mauritania,2020 Females,79083
Mauritius,2015 Combined,28585
Mauritius,2020 Combined,28893
Mauritius,2015 Males,15832
Mauritius,2020 Males,16003
Mauritius,2015 Females,12753
Mauritius,2020 Females,12890
Mayotte,2015 Combined,81386
Mayotte,2020 Combined,111540
Mayotte,2015 Males,37657
Mayotte,2020 Males,51609
Mayotte,2015 Females,43729
Mayotte,2020 Females,59931
Mexico,2015 Combined,1013691
Mexico,2020 Combined,1197624
Mexico,2015 Males,508232
Mexico,2020 Males,601509
Mexico,2015 Females,505459
Mexico,2020 Females,596115
Micronesia,2015 Combined,127096
Micronesia,2020 Combined,133067
Micronesia,2015 Males,64394
Micronesia,2020 Males,67310
Micronesia,2015 Females,62702
Micronesia,2020 Females,65757
Micronesia (Fed. States of),2015 Combined,3241
Micronesia (Fed. States of),2020 Combined,3322
Micronesia (Fed. States of),2015 Males,1736
Micronesia (Fed. States of),2020 Males,1784
Micronesia (Fed. States of),2015 Females,1505
Micronesia (Fed. States of),2020 Females,1538
Monaco,2015 Combined,25983
Monaco,2020 Combined,26601
Monaco,2015 Males,12599
Monaco,2020 Males,12897
Monaco,2015 Females,13384
Monaco,2020 Females,13704
Mongolia,2015 Combined,19886
Mongolia,2020 Combined,21345
Mongolia,2015 Males,13284
Mongolia,2020 Males,14263
Mongolia,2015 Females,6602
Mongolia,2020 Females,7082
Montenegro,2015 Combined,71719
Montenegro,2020 Combined,70999
Montenegro,2015 Males,28178
Montenegro,2020 Males,27995
Montenegro,2015 Females,43541
Montenegro,2020 Females,43004
Montserrat,2015 Combined,1351
Montserrat,2020 Combined,1379
Montserrat,2015 Males,696
Montserrat,2020 Males,711
Montserrat,2015 Females,655
Montserrat,2020 Females,668
Morocco,2015 Combined,92424
Morocco,2020 Combined,102358
Morocco,2015 Males,46387
Morocco,2020 Males,52707
Morocco,2015 Females,46037
Morocco,2020 Females,49651
Mozambique,2015 Combined,321794
Mozambique,2020 Combined,338850
Mozambique,2015 Males,155510
Mozambique,2020 Males,165490
Mozambique,2015 Females,166284
Mozambique,2020 Females,173360
Myanmar,2015 Combined,73309
Myanmar,2020 Combined,76446
Myanmar,2015 Males,40178
Myanmar,2020 Males,41898
Myanmar,2015 Females,33131
Myanmar,2020 Females,34548
Namibia,2015 Combined,101618
Namibia,2020 Combined,109391
Namibia,2015 Males,54739
Namibia,2020 Males,59024
Namibia,2015 Females,46879
Namibia,2020 Females,50367
Nauru,2015 Combined,2042
Nauru,2020 Combined,2442
Nauru,2015 Males,1141
Nauru,2020 Males,1423
Nauru,2015 Females,901
Nauru,2020 Females,1019
Nepal,2015 Combined,509471
Nepal,2020 Combined,487564
Nepal,2015 Males,156361
Nepal,2020 Males,146930
Nepal,2015 Females,353110
Nepal,2020 Females,340634
Netherlands,2015 Combined,1996326
Netherlands,2020 Combined,2358338
Netherlands,2015 Males,952319
Netherlands,2020 Males,1134408
Netherlands,2015 Females,1044007
Netherlands,2020 Females,1223930
New Caledonia,2015 Combined,68881
New Caledonia,2020 Combined,73141
New Caledonia,2015 Males,36181
New Caledonia,2020 Males,38284
New Caledonia,2015 Females,32700
New Caledonia,2020 Females,34857
New Zealand,2015 Combined,1041269
New Zealand,2020 Combined,1384031
New Zealand,2015 Males,503529
New Zealand,2020 Males,669281
New Zealand,2015 Females,537740
New Zealand,2020 Females,714750
Nicaragua,2015 Combined,40261
Nicaragua,2020 Combined,42167
Nicaragua,2015 Males,20723
Nicaragua,2020 Males,21683
Nicaragua,2015 Females,19538
Nicaragua,2020 Females,20484
Niger,2015 Combined,252998
Niger,2020 Combined,348056
Niger,2015 Males,119915
Niger,2020 Males,162019
Niger,2015 Females,133083
Niger,2020 Females,186037
Nigeria,2015 Combined,1199115
Nigeria,2020 Combined,1308568
Nigeria,2015 Males,657887
Nigeria,2020 Males,713678
Nigeria,2015 Females,541228
Nigeria,2020 Females,594890
Niue,2015 Combined,588
Niue,2020 Combined,588
Niue,2015 Males,319
Niue,2020 Males,319
Niue,2015 Females,269
Niue,2020 Females,269
North Macedonia,2015 Combined,130730
North Macedonia,2020 Combined,131311
North Macedonia,2015 Males,54496
North Macedonia,2020 Males,54740
North Macedonia,2015 Females,76234
North Macedonia,2020 Females,76571
Northern Mariana Islands,2015 Combined,24099
Northern Mariana Islands,2020 Combined,24311
Northern Mariana Islands,2015 Males,10112
Northern Mariana Islands,2020 Males,10205
Northern Mariana Islands,2015 Females,13987
Northern Mariana Islands,2020 Females,14106
Norway,2015 Combined,746380
Norway,2020 Combined,852241
Norway,2015 Males,389373
Norway,2020 Males,439207
Norway,2015 Females,357007
Norway,2020 Females,413034
Oman,2015 Combined,1856226
Oman,2020 Combined,2372836
Oman,2015 Males,1552000
Oman,2020 Males,1984025
Oman,2015 Females,304226
Oman,2020 Females,388811
Pakistan,2015 Combined,3506520
Pakistan,2020 Combined,3276580
Pakistan,2015 Males,1845470
Pakistan,2020 Males,1812804
Pakistan,2015 Females,1661050
Pakistan,2020 Females,1463776
Palau,2015 Combined,5813
Palau,2020 Combined,5987
Palau,2015 Males,3425
Palau,2020 Males,3286
Palau,2015 Females,2388
Palau,2020 Females,2701
Panama,2015 Combined,184710
Panama,2020 Combined,313165
Panama,2015 Males,94841
Panama,2020 Males,167057
Panama,2015 Females,89869
Panama,2020 Females,146108
Papua New Guinea,2015 Combined,30940
Papua New Guinea,2020 Combined,31068
Papua New Guinea,2015 Males,18734
Papua New Guinea,2020 Males,18895
Papua New Guinea,2015 Females,12206
Papua New Guinea,2020 Females,12173
Paraguay,2015 Combined,156462
Paraguay,2020 Combined,169567
Paraguay,2015 Males,81303
Paraguay,2020 Males,88311
Paraguay,2015 Females,75159
Paraguay,2020 Females,81256
Peru,2015 Combined,154774
Peru,2020 Combined,1224519
Peru,2015 Males,91090
Peru,2020 Males,642404
Peru,2015 Females,63684
Peru,2020 Females,582115
Philippines,2015 Combined,212904
Philippines,2020 Combined,226631
Philippines,2015 Males,110249
Philippines,2020 Males,117603
Philippines,2015 Females,102655
Philippines,2020 Females,109028
Poland,2015 Combined,611855
Poland,2020 Combined,817254
Poland,2015 Males,256623
Poland,2020 Males,390449
Poland,2015 Females,355232
Poland,2020 Females,426805
Portugal,2015 Combined,864814
Portugal,2020 Combined,1001963
Portugal,2015 Males,398390
Portugal,2020 Males,479936
Portugal,2015 Females,466424
Portugal,2020 Females,522027
Puerto Rico,2015 Combined,280494
Puerto Rico,2020 Combined,247132
Puerto Rico,2015 Males,130916
Puerto Rico,2020 Males,114868
Puerto Rico,2015 Females,149578
Puerto Rico,2020 Females,132264
Qatar,2015 Combined,1687640
Qatar,2020 Combined,2226192
Qatar,2015 Males,1416361
Qatar,2020 Males,1842785
Qatar,2015 Females,271279
Qatar,2020 Females,383407
Republic of Korea,2015 Combined,1370905
Republic of Korea,2020 Combined,1728182
Republic of Korea,2015 Males,760957
Republic of Korea,2020 Males,958365
Republic of Korea,2015 Females,609948
Republic of Korea,2020 Females,769817
Republic of Moldova,2015 Combined,106374
Republic of Moldova,2020 Combined,104438
Republic of Moldova,2015 Males,43467
Republic of Moldova,2020 Males,42743
Republic of Moldova,2015 Females,62907
Republic of Moldova,2020 Females,61695
Romania,2015 Combined,281048
Romania,2020 Combined,705310
Romania,2015 Males,146758
Romania,2020 Males,386946
Romania,2015 Females,134290
Romania,2020 Females,318364
Russian Federation,2015 Combined,11643326
Russian Federation,2020 Combined,11636959
Russian Federation,2015 Males,5715232
Russian Federation,2020 Males,5712110
Russian Federation,2015 Females,5928094
Russian Federation,2020 Females,5924849
Rwanda,2015 Combined,514647
Rwanda,2020 Combined,513907
Rwanda,2015 Males,256327
Rwanda,2020 Males,259907
Rwanda,2015 Females,258320
Rwanda,2020 Females,254000
Réunion,2015 Combined,127209
Réunion,2020 Combined,131769
Réunion,2015 Males,64537
Réunion,2020 Males,66852
Réunion,2015 Females,62672
Réunion,2020 Females,64917
Saint Barthélemy,2015 Combined,0
Saint Barthélemy,2020 Combined,0
Saint Barthélemy,2015 Males,0
Saint Barthélemy,2020 Males,0
Saint Barthélemy,2015 Females,0
Saint Barthélemy,2020 Females,0
Saint Helena,2015 Combined,377
Saint Helena,2020 Combined,437
Saint Helena,2015 Males,251
Saint Helena,2020 Males,306
Saint Helena,2015 Females,126
Saint Helena,2020 Females,131
Saint Kitts and Nevis,2015 Combined,7443
Saint Kitts and Nevis,2020 Combined,7725
Saint Kitts and Nevis,2015 Males,3916
Saint Kitts and Nevis,2020 Males,4066
Saint Kitts and Nevis,2015 Females,3527
Saint Kitts and Nevis,2020 Females,3659
Saint Lucia,2015 Combined,8673
Saint Lucia,2020 Combined,8338
Saint Lucia,2015 Males,4179
Saint Lucia,2020 Males,4004
Saint Lucia,2015 Females,4494
Saint Lucia,2020 Females,4334
Saint Martin (French part),2015 Combined,0
Saint Martin (French part),2020 Combined,0
Saint Martin (French part),2015 Males,0
Saint Martin (French part),2020 Males,0
Saint Martin (French part),2015 Females,0
Saint Martin (French part),2020 Females,0
Saint Pierre and Miquelon,2015 Combined,986
Saint Pierre and Miquelon,2020 Combined,998
Saint Pierre and Miquelon,2015 Males,516
Saint Pierre and Miquelon,2020 Males,523
Saint Pierre and Miquelon,2015 Females,470
Saint Pierre and Miquelon,2020 Females,475
Saint Vincent and the Grenadines,2015 Combined,4637
Saint Vincent and the Grenadines,2020 Combined,4738
Saint Vincent and the Grenadines,2015 Males,2355
Saint Vincent and the Grenadines,2020 Males,2443
Saint Vincent and the Grenadines,2015 Females,2282
Saint Vincent and the Grenadines,2020 Females,2295
Samoa,2015 Combined,4273
Samoa,2020 Combined,4035
Samoa,2015 Males,2156
Samoa,2020 Males,2036
Samoa,2015 Females,2117
Samoa,2020 Females,1999
San Marino,2015 Combined,5195
San Marino,2020 Combined,5543
San Marino,2015 Males,2867
San Marino,2020 Males,2991
San Marino,2015 Females,2328
San Marino,2020 Females,2552
Sao Tome and Principe,2015 Combined,2394
Sao Tome and Principe,2020 Combined,2139
Sao Tome and Principe,2015 Males,1197
Sao Tome and Principe,2020 Males,1067
Sao Tome and Principe,2015 Females,1197
Sao Tome and Principe,2020 Females,1072
Saudi Arabia,2015 Combined,10771366
Saudi Arabia,2020 Combined,13454842
Saudi Arabia,2015 Males,7461502
Saudi Arabia,2020 Males,9235130
Saudi Arabia,2015 Females,3309864
Saudi Arabia,2020 Females,4219712
Senegal,2015 Combined,266496
Senegal,2020 Combined,274929
Senegal,2015 Males,141402
Senegal,2020 Males,145591
Senegal,2015 Females,125094
Senegal,2020 Females,129338
Serbia,2015 Combined,807441
Serbia,2020 Combined,823011
Serbia,2015 Males,355180
Serbia,2020 Males,362493
Serbia,2015 Females,452261
Serbia,2020 Females,460518
Seychelles,2015 Combined,12791
Seychelles,2020 Combined,13050
Seychelles,2015 Males,8954
Seychelles,2020 Males,9136
Seychelles,2015 Females,3837
Seychelles,2020 Females,3914
Sierra Leone,2015 Combined,58830
Sierra Leone,2020 Combined,53746
Sierra Leone,2015 Males,33077
Sierra Leone,2020 Males,30408
Sierra Leone,2015 Females,25753
Sierra Leone,2020 Females,23338
Singapore,2015 Combined,2483405
Singapore,2020 Combined,2523648
Singapore,2015 Males,1096394
Singapore,2020 Males,1112517
Singapore,2015 Females,1387011
Singapore,2020 Females,1411131
Sint Maarten (Dutch part),2015 Combined,27295
Sint Maarten (Dutch part),2020 Combined,28845
Sint Maarten (Dutch part),2015 Males,13077
Sint Maarten (Dutch part),2020 Males,13822
Sint Maarten (Dutch part),2015 Females,14218
Sint Maarten (Dutch part),2020 Females,15023
Slovakia,2015 Combined,177632
Slovakia,2020 Combined,197167
Slovakia,2015 Males,89014
Slovakia,2020 Males,100552
Slovakia,2015 Females,88618
Slovakia,2020 Females,96615
Slovenia,2015 Combined,237616
Slovenia,2020 Combined,277964
Slovenia,2015 Males,134460
Slovenia,2020 Males,162815
Slovenia,2015 Females,103156
Slovenia,2020 Females,115149
Solomon Islands,2015 Combined,2850
Solomon Islands,2020 Combined,2778
Solomon Islands,2015 Males,1600
Solomon Islands,2020 Males,1562
Solomon Islands,2015 Females,1250
Solomon Islands,2020 Females,1216
Somalia,2015 Combined,40990
Somalia,2020 Combined,58590
Somalia,2015 Males,21584
Somalia,2020 Males,32285
Somalia,2015 Females,19406
Somalia,2020 Females,26305
South Africa,2015 Combined,3231774
South Africa,2020 Combined,2860548
South Africa,2015 Males,1770945
South Africa,2020 Males,1627332
South Africa,2015 Females,1460829
South Africa,2020 Females,1233216
South America,2015 Combined,5819345
South America,2020 Combined,10647966
South America,2015 Males,2875049
South America,2020 Males,5325059
South America,2015 Females,2944296
South America,2020 Females,5322907
South Sudan,2015 Combined,844112
South Sudan,2020 Combined,882252
South Sudan,2015 Males,430944
South Sudan,2020 Males,443405
South Sudan,2015 Females,413168
South Sudan,2020 Females,438847
Spain,2015 Combined,5891327
Spain,2020 Combined,6842360
Spain,2015 Males,2884053
Spain,2020 Males,3272841
Spain,2015 Females,3007274
Spain,2020 Females,3569519
Sri Lanka,2015 Combined,39706
Sri Lanka,2020 Combined,40254
Sri Lanka,2015 Males,20745
Sri Lanka,2020 Males,21196
Sri Lanka,2015 Females,18961
Sri Lanka,2020 Females,19058
State of Palestine,2015 Combined,273163
State of Palestine,2020 Combined,272784
State of Palestine,2015 Males,124710
State of Palestine,2020 Males,124737
State of Palestine,2015 Females,148453
State of Palestine,2020 Females,148047
Sudan,2015 Combined,620523
Sudan,2020 Combined,1379147
Sudan,2015 Males,311885
Sudan,2020 Males,685177
Sudan,2015 Females,308638
Sudan,2020 Females,693970
Suriname,2015 Combined,43127
Suriname,2020 Combined,47801
Suriname,2015 Males,23544
Suriname,2020 Males,26271
Suriname,2015 Females,19583
Suriname,2020 Females,21530
Sweden,2015 Combined,1602533
Sweden,2020 Combined,2003919
Sweden,2015 Males,786876
Sweden,2020 Males,1008010
Sweden,2015 Females,815657
Sweden,2020 Females,995909
Switzerland,2015 Combined,2258227
Switzerland,2020 Combined,2491266
Switzerland,2015 Males,1103429
Switzerland,2020 Males,1222207
Switzerland,2015 Females,1154798
Switzerland,2020 Females,1269059
Syrian Arab Republic,2015 Combined,835716
Syrian Arab Republic,2020 Combined,868711
Syrian Arab Republic,2015 Males,426967
Syrian Arab Republic,2020 Males,432279
Syrian Arab Republic,2015 Females,408749
Syrian Arab Republic,2020 Females,436432
Tajikistan,2015 Combined,275101
Tajikistan,2020 Combined,276031
Tajikistan,2015 Males,118639
Tajikistan,2020 Males,119174
Tajikistan,2015 Females,156462
Tajikistan,2020 Females,156857
Thailand,2015 Combined,3470220
Thailand,2020 Combined,3632496
Thailand,2015 Males,1742708
Thailand,2020 Males,1821857
Thailand,2015 Females,1727512
Thailand,2020 Females,1810639
Timor-Leste,2015 Combined,8520
Timor-Leste,2020 Combined,8399
Timor-Leste,2015 Males,5148
Timor-Leste,2020 Males,5076
Timor-Leste,2015 Females,3372
Timor-Leste,2020 Females,3323
Togo,2015 Combined,277384
Togo,2020 Combined,279936
Togo,2015 Males,139540
Togo,2020 Males,141807
Togo,2015 Females,137844
Togo,2020 Females,138129
Tokelau,2015 Combined,1185
Tokelau,2020 Combined,1238
Tokelau,2015 Males,564
Tokelau,2020 Males,586
Tokelau,2015 Females,621
Tokelau,2020 Females,652
Tonga,2015 Combined,3954
Tonga,2020 Combined,3742
Tonga,2015 Males,2158
Tonga,2020 Males,2044
Tonga,2015 Females,1796
Tonga,2020 Females,1698
Trinidad and Tobago,2015 Combined,50021
Trinidad and Tobago,2020 Combined,78849
Trinidad and Tobago,2015 Males,24464
Trinidad and Tobago,2020 Males,39179
Trinidad and Tobago,2015 Females,25557
Trinidad and Tobago,2020 Females,39670
Tunisia,2015 Combined,56532
Tunisia,2020 Combined,60145
Tunisia,2015 Males,29253
Tunisia,2020 Males,31474
Tunisia,2015 Females,27279
Tunisia,2020 Females,28671
Turkey,2015 Combined,4346197
Turkey,2020 Combined,6052652
Turkey,2015 Males,2390166
Turkey,2020 Males,3124165
Turkey,2015 Females,1956031
Turkey,2020 Females,2928487
Turkmenistan,2015 Combined,196376
Turkmenistan,2020 Combined,194920
Turkmenistan,2015 Males,91531
Turkmenistan,2020 Males,92357
Turkmenistan,2015 Females,104845
Turkmenistan,2020 Females,102563
Turks and Caicos Islands,2015 Combined,22723
Turks and Caicos Islands,2020 Combined,25748
Turks and Caicos Islands,2015 Males,11759
Turks and Caicos Islands,2020 Males,13325
Turks and Caicos Islands,2015 Females,10964
Turks and Caicos Islands,2020 Females,12423
Tuvalu,2015 Combined,297
Tuvalu,2020 Combined,306
Tuvalu,2015 Males,144
Tuvalu,2020 Males,146
Tuvalu,2015 Females,153
Tuvalu,2020 Females,160
Uganda,2015 Combined,851175
Uganda,2020 Combined,1720313
Uganda,2015 Males,415845
Uganda,2020 Males,827664
Uganda,2015 Females,435330
Uganda,2020 Females,892649
Ukraine,2015 Combined,4915142
Ukraine,2020 Combined,4997387
Ukraine,2015 Males,2113924
Ukraine,2020 Males,2149298
Ukraine,2015 Females,2801218
Ukraine,2020 Females,2848089
United Arab Emirates,2015 Combined,7995126
United Arab Emirates,2020 Combined,8716332
United Arab Emirates,2015 Males,5890170
United Arab Emirates,2020 Males,6419792
United Arab Emirates,2015 Females,2104956
United Arab Emirates,2020 Females,2296540
United Kingdom,2015 Combined,8407213
United Kingdom,2020 Combined,9359827
United Kingdom,2015 Males,4021343
United Kingdom,2020 Males,4464520
United Kingdom,2015 Females,4385870
United Kingdom,2020 Females,4895307
United Republic of Tanzania,2015 Combined,384567
United Republic of Tanzania,2020 Combined,426017
United Republic of Tanzania,2015 Males,190617
United Republic of Tanzania,2020 Males,213007
United Republic of Tanzania,2015 Females,193950
United Republic of Tanzania,2020 Females,213010
United States Virgin Islands,2015 Combined,56721
United States Virgin Islands,2020 Combined,56753
United States Virgin Islands,2015 Males,26728
United States Virgin Islands,2020 Males,26744
United States Virgin Islands,2015 Females,29993
United States Virgin Islands,2020 Females,30009
United States of America,2015 Combined,48194129
United States of America,2020 Combined,50654995
United States of America,2015 Males,23454382
United States of America,2020 Males,24489787
United States of America,2015 Females,24739747
United States of America,2020 Females,26165208
Uruguay,2015 Combined,78799
Uruguay,2020 Combined,108267
Uruguay,2015 Males,35642
Uruguay,2020 Males,50937
Uruguay,2015 Females,43157
Uruguay,2020 Females,57330
Uzbekistan,2015 Combined,1170873
Uzbekistan,2020 Combined,1162007
Uzbekistan,2015 Males,545721
Uzbekistan,2020 Males,543364
Uzbekistan,2015 Females,625152
Uzbekistan,2020 Females,618643
Vanuatu,2015 Combined,3186
Vanuatu,2020 Combined,3257
Vanuatu,2015 Males,1583
Vanuatu,2020 Males,1619
Vanuatu,2015 Females,1603
Vanuatu,2020 Females,1638
Venezuela (Bolivarian Republic of),2015 Combined,1404448
Venezuela (Bolivarian Republic of),2020 Combined,1324193
Venezuela (Bolivarian Republic of),2015 Males,703458
Venezuela (Bolivarian Republic of),2020 Males,652823
Venezuela (Bolivarian Republic of),2015 Females,700990
Venezuela (Bolivarian Republic of),2020 Females,671370
Viet Nam,2015 Combined,72793
Viet Nam,2020 Combined,76767
Viet Nam,2015 Males,42168
Viet Nam,2020 Males,44471
Viet Nam,2015 Females,30625
Viet Nam,2020 Females,32296
Wallis and Futuna Islands,2015 Combined,2050
Wallis and Futuna Islands,2020 Combined,2040
Wallis and Futuna Islands,2015 Males,1035
Wallis and Futuna Islands,2020 Males,1030
Wallis and Futuna Islands,2015 Females,1015
Wallis and Futuna Islands,2020 Females,1010
Western Sahara,2015 Combined,5179
Western Sahara,2020 Combined,5424
Western Sahara,2015 Males,3059
Western Sahara,2020 Males,3205
Western Sahara,2015 Females,2120
Western Sahara,2020 Females,2219
Yemen,2015 Combined,379882
Yemen,2020 Combined,387113
Yemen,2015 Males,199390
Yemen,2020 Males,223512
Yemen,2015 Females,180492
Yemen,2020 Females,163601
Zambia,2015 Combined,132107
Zambia,2020 Combined,187955
Zambia,2015 Males,66651
Zambia,2020 Males,97556
Zambia,2015 Females,65456
Zambia,2020 Females,90399
Zimbabwe,2015 Combined,400482
Zimbabwe,2020 Combined,416141
Zimbabwe,2015 Males,225653
Zimbabwe,2020 Males,236561
Zimbabwe,2015 Females,174829
Zimbabwe,2020 Females,179580
